Topic,Message
151,Hope we get maruti rfid card before tata.ev rfid card😂😂
151,How to get rfid ?
151,How to get RFID card for charging?
152,get wheel alignment balancing done outside
152,Wheel alignment and balancing issue
152,Not balancing... It's wheel alignment
153,Better to go around 40-50.
153,Not 1 on 100 . 10 - 20 on 100
153,Below 40 or 30 is fine
154,KYC done by the dealer?
154,They have done the kyc
154,I think KYC..... Ask dealer to do your KYC
155,Not if you take the subscription
155,This is on subscription only .
155,Did you renew your subscription ?
156,"We mean govt, not me"
156,That was to state govt 😅
156,Now its same govt for 5 years
157,Should i go for after market?
157,Trying to sell in after market
157,Can we get the in market..???
158,But how is that possible?
158,Yes it's very much possible
158,Yes i have it but not used much.
159,Yes but what is the voltage?
159,Then it is voltage issue
159,"Check voltage, may be due to low voltage"
160,Don't spam Admin please Block
160,@admin ... spam.. pls remove
160,"@admin this is spam, please remove this"
161,For dark edition by default u will get leather seats so in Fb group and even car zone and showroom people suggested me to not install any seat covers for dark edition because it will generate more heat if u use seat covers on top of leather seats
161,Please someone suggest me some good seat covers for ventilated seats
161,"Has anyone had a seat cover for max? Since it's a ventilated seat, can we have a seat cover? Any specific cover for this?"
162,r u going to Jio-BP?
162,Jio bp also r there.
162,They have Jio bp app
163,You own a windsor too??
163,Windsor windsor windsor why did they make it look so weird sir
163,You can also see MG Windsor
164,Hydrogen cars work by fuel cell
164,We need a new group too for hydrogen vehicle
164,Only possible is hydrogen fuel cell or hydrogen engine
165,"Close you Paytm Fastag, online through Paytm app"
165,Which fastag is better after Paytm?
165,What about paytm fastag balance?
166,"For Height upto 5'6"" Back seat is comfortable"
166,Hope rear seat comfort and under thigh support will be taken care now atleast...
166,Yes. Same here. Front driver seat can lower seat if it’s top model… but rear seat no solution
167,Yes zeon is the best
167,I think it's Zeon now?
167,Zeon app u can see it
168,Do you have the EV TMSC app?
168,This is from EV TMSC App.
168,If you have EV TMSC app
169,in slow charging or fast charging
169,Slow charging or fast charging?
169,Slow charging or Fast Charging?
170,But CCS and CCS2 are different
170,"For ccs2, it's type 2"
170,Why CHAdeMO 😭. Could have been ccs2 + ccs2 + type 2
171,It should launch at 3
171,But when’s the launch? 🤣
171,I was at the launch
172,Is limp mode on car?
172,car is in limp mode
172,Is it on limp mode
173,"It is, see green number plate"
173,Still no number plate 🤔
173,Have you got your number plate?
174,Is subsidy available in Maharashtra?
174,Is there any subsidy in delhi
174,No subsidy in Delhi now
175,it is showing earthing on charger?
175,to see if its earthing or charger...
175,And need earthing for Charging
176,No this is Model S
176,Model 3! Is that you?
176,2 Model S 4 Model X
177,I want to check that by any means ON BOARD charger identifies charger and decide charging current. If tata has reduced default charging current than using 7.4 kW public charger will also charge at 2.6 kW like portable charger before update it was charging at 3.1 kW on public charger. Default tata portable charger is approx 2.9 kW.
177,I have 7.2 kw charger which is running in 3.2 kw because of meter is only 6kw I applied for 10 kw. Then after tata will start charger at 7.2 kw
177,If you opt for 7.2 kW ac charging model you will get a 7.2 charger worth 50k. If not your car can still charge at 7.2 kw at any other type charger but tata will not give 7.2 kw ac charger.
178,What is the cost of Tiago ev extended warranty..
178,What is the cost for extended warranty of Nexon ev?
178,Anyone extended warranty of Tiago EV
179,"Anyone from Delhi,who can help me to buy Nexon ev"
179,"Hello, any owner of Nexon EV from delhi here ?"
179,Any group of nexon ev owners from delhi ?
180,Hyundai and Kia doing some good work
180,Hyundai and Kia will do good in EVs
180,And Kia. Same as Hyundai.
181,What was your wallet balance?
181,One more app... Needs to add money in it's wallet....why not connected to UPI payment??
181,Do I need to add money in wallet
182,"🤔 i think that difference is higher than 2.5L, no?"
182,not more than 4 or 5L
182,I think they will pay me around 5L
183,Tpms error. Check tyre pressure
183,TPMS. Check tyre pressure and reset it
183,Its for tyre pressure (TPMS)
184,Soc after charging to 100%
184,Latest advice is not to deep discharge below 10% soc and always charge above 10% soc
184,Deep discharge below 10% soc once a month and always charge full to 100% too
185,"Yes, i have the max."
185,You have the Max now?
185,This is only for max
186,With 6 airbags on all models now
186,"So we need 6 airbags, here we go: Dual in the front Two Knee airbag for each passenger in the front. 6 Airbags done. 😎"
186,Not a good time to add 6 airbags also
187,Wishing you all and your family a very Happy and Prosperous Diwali 🎉🎊
187,Wishing everyone happy Diwali too
187,Wishing you and your family a Very Happy Diwali ☀️☀️
188,Can anyone suggest a voltage stabilizer for Nexon EV..?
188,why you need a stabilizer?
188,That's voltage issue.. you need stabilizer then
189,how much 3rd service will cost ?
189,What about 3rd service cost
189,What is the cost for 3rd service?
190,Not the facelift before that
190,for which Nexon EV? Facelift?
190,No nexon 3.0 facelift one
191,8 years warranty on Battery
191,Battery is in warranty for 8 years.
191,Battery warranty is for 8 years
192,Only 4 rupee per unit
192,This is @1 rupee per unit
192,Zeon 29.4 rupees per unit Statiq 14.2 rupees per unit
193,How many kms for first service?
193,After 3 free service at how many kms need service of the car to be done ?
193,1st service at 2 months or 2000 kms. Whichever is earlier. 7500 kms or 6 months is 2nd service.
194,Ask SC for a loaner car
194,Did you get any loaner vehicle?
194,Did you get a loaner car?
195,Maruti is a new one
195,What is it about Maruti
195,Only Maruti as of now
196,Not possible if RTO is already done
196,What does rto have to do here?
196,Do you have an RTO in the same city?
197,green and red light is blinking
197,"Red light blinking, what is that I need to do?"
197,Red light blinking or just on?
198,What would be the ARAI range of model 3?
198,2. Range will be ARAI -30%
198,Arai range or not don't know
199,It's same for all. No discount at all.
199,How much discount you got?
199,Did you get any discount ?
200,Any EV owners from Hyderabad in this group?
200,Any group for delhi ncr ev owners
200,Is there any group for mumbai ev owners?
201,Car scanner app and any obd 2 will work
201,Is this using obd scanner?
201,Obd 2 and car scanner app
202,They have only one model
202,Which model you have ??
202,Base model to top model
203,What could be reason for fire?
203,which company car got fire ?
203,and the reason for fire
204,Yeah. Now there's no limit
204,As in? You set that limit?
204,What is the limit ?
205,How much is your load
205,What is the load you have
205,How much is the load??
206,Does anyone know the rear wiper size of the new Nexon?
206,What is the wiper size for tigor ev?
206,"This is not a issue with the wiper. Rather the wiper arm alignment. I had the same problem when my car was delivered. The driver side wiper would hit the passenger side wiper, the driver side wiper eventually broke. I had to get it replaced with a smaller wiper on the highway. Later when I checked at the SC, that’s when they discovered that the wiper arms were not correctly aligned. They fix it in a couple of minutes"
207,They have some bike i think
207,Think that in a bike
207,But it's on a bike
208,Free charge then free money
208,When will you be free
208,but it will be free 😉
209,Has anyone installed alloy wheels?
209,Anyone installed alloy wheels on EV?
209,Hello. I have a tigor ev. Wanted info on ally wheels. Has anyone put alloy wheels in their ev. Are the ev alloy wheels different from normal alloys?
210,"1. Understand the Rule Change Clearly Earlier: Karnataka had 0% road tax for EVs. Now: The government has introduced a road tax on EVs, and the RTO system may show tax payable at the time of transfer (ownership change), even if the first buyer originally got the exemption. This does not automatically mean you owe the tax — it means the system needs clarity on whether the exemption applies to the transfer as well. --- 2. What You Should Do (Step-by-Step) Step 1: Carry Original Invoice + Tax Receipt (0 tax) The RTO needs proof that your vehicle was purchased during the tax-exemption period. Take: Original purchase invoice Form 20/21 (from dealer) Any document from dealer showing “Road Tax = NIL” This helps the RTO officer confirm the exemption. --- Step 2: Visit the RTO and Ask Them to Update “Tax Exempt Vehicle” Flag When the exemption was active, RTO flagged EVs in the system as “Tax Exempt”. After the new rule, some older EV entries lost the exemption flag during system updates. Ask them to: Re-validate tax exemption for your VIN Mark the vehicle as exempt under the old notification date This removes the tax liability during ownership transfer. --- Step 3: Carry the Notification / Circular If needed, carry: Transport Department circular (Govt of Karnataka) that granted 0% tax for EVs purchased before the amendment. RTO officers are familiar with this, but having a soft copy helps speed things up. --- Step 4: Have the Buyer’s RTO Re-Verify If you and the buyer are in different RTO jurisdictions, the buyer’s RTO may again raise the tax flag. Solution: Ask the buyer to mention in their application: “Vehicle purchased during tax-exemption period. No tax applicable as per notification dated 27-September-2017 This ensures the receiving RTO process matches your exemption. --- 3. If the RTO Insists Tax Must Be Paid Rare, but can happen if they misinterpret the updated rule. If they say tax must be paid during re-registration, you can: Politely ask for the rule reference where retrospective tax is imposed Point out that taxation cannot be applied retrospectively on a vehicle purchased legally under exemption Request escalation to: RTO Inspector (RI) Motor Vehicle Inspector (MVI) RTO ARTO / RTO Officer Most cases get resolved at this level."
210,karnataka just has 0 road tax
210,7+L road tax in KARNATAKA
211,BYD ATTO 3 and more to come.
211,is byd atto 3 good ?
211,Byd atto 3 is at 0%
212,"No, they got the data"
212,How can you get this data?
212,Is this the data ?
213,Yes they know as it's the same showroom
213,Just do this at showroom and see 👆🏻😂
213,which showroom / SC ?
214,TML has 2 years warranty
214,Tml has 2 years warranty
214,🥲 Now think the same for TML
215,What’s the issue? Gun not locking?
215,Even after connecting the gun it says gun not connected properly
215,Also is the gun connected to the car?
216,Who the f will test
216,he will be testing that day
216,They are testing it i think
217,cell balancing on charging I guess....
217,Cell balancing to be done only with slow charger.
217,Charge till 100% for cell balancing
218,Has anyone got battery replaced for HV critical error?
218,Hv error Some fault with hV battery
218,Hv Battery has charge ?
219,I just bought a pre-owned nexon EV XZ plus It's giving a range of only 150-160 km in one full charge Should I get the battery checked? Will they replace it or is it normal? The company claims 350 km range and the 1st owner said it gives a range of 215 km
219,Nice article.. I have a curious problem.. I have a Nexon EV Max 2023 Model. From 100 % Charge to 30 % it gives me a range of about 3 Km per 1 percent charge ie about 210 to 220 km. However as soon as the car reaches 30 percent the range drops to about 1.2 km per percent of charge. In fact I found that despite showing a range of 90 km with 30 percent battery it only gave me about 36 km as a result of which I got stuck on the road and had to be towed home. Do you think it is a BMS problem or a battery balancing problem??
219,Full charge getting 240 km range with Ac on tata nexon how is that car is 5 months old
220,Jio bp also has auto charge
220,"Check out ""Jio-bp pulse Charge"""
220,Are jio bp pulse chargers good?
221,Can u share that link?
221,Can u share a link
221,Can you share a link
222,Then you will get in March
222,Feb ending to march 1st week
222,Feb end / March first week
223,Check out the MG Comet as well
223,Is there any group for MG Comet Ev?
223,I think MG Comet is there.
224,Any petrol pump close by?
224,Don't pump me too much😂😂
224,Like in petrol pump 🤣🤣🤣
225,This is case of Indian cars....
225,In most Indian cars it is the
225,"Wipro has partnered with the Indian Institute of Science (IISc) and RV College of Engineering to develop and test an indigenous autonomous car prototype for Indian road conditions. The initiative, known as the Wipro-IISc Research and Innovation Network (WIRIN), recently unveiled its driverless car prototype in Bengaluru. Startups Say India Is Ideal for Testing Self-Driving Cars ... Key details of the project A ""Made in India"" car: The vehicle features self-driving technology developed entirely within India, specifically designed to navigate the country's unique and complex traffic environment. Advanced AI and sensors: The car uses artificial intelligence (AI), advanced sensors, cameras, and smart algorithms to perceive its environment, identify road signs and traffic signals, and react to pedestrians. Focus on Indian roads: The technology is being built from the ground up to tackle specific challenges, including a lack of lane discipline, potholes, cattle crossings, and erratic pedestrian movement. Demonstration: A prototype of the driverless car was recently demonstrated on the RV College of Engineering campus in Bengaluru, where it operated autonomously. A video of a seer from Uttaradi Mutt riding in the car went viral online. Wipro's broader role in autonomous technology Beyond this specific Indian project, Wipro has been involved in developing autonomous technologies for several years. Wipod autonomous vehicle: Wipro has developed its own Level 5 autonomous reference platform called ""Wipod,"" which acts as a ""computer on wheels."" It is used to test and showcase the company's autonomous systems. Global solutions: Wipro's expertise includes end-to-end system integration for autonomous vehicles (AVs), covering computer vision, sensor fusion, path planning, and navigation. Simulation platform: The company has created a ""Self Driving Vehicle (SDV) in a box"" simulator. This global-scale tool is used to test and validate AV navigation algorithms in challenging, real-world scenarios with varying weather and time-of-day conditions. Autonomous Valet Parking (AVP): Wipro has also pioneered a cost-effective autonomous valet parking feature as part of its AI Algostack suite. This solution uses only cameras and radars, and has been tested in its simulator for various parking scenarios. International partnerships: In 2023, Wipro's Engineering Edge business line announced a partnership with U.S.-based Spartan Radar to enhance its ""Cloud Car"" platform with advanced assisted and automated driving solutions."
226,80+ voted now. Pls vote if you haven't. Will close this poll this week.
226,See this poll so far. 100%
226,Sure. Start poll on that
227,How many days you had to keep the car at the service centre?
227,Car is in service centre
227,Now the vehicle is at service centre
228,How much is the AEC now??
228,Good .. WHAT ABOUT AEC ?
228,There you will see AEC
229,I think after d2n issue this I a new issue
229,You got d2n issue ?
229,What is D2N issue ?
230,How much FC and SC
230,I don’t think it is at all FC
230,How to do FC ?
231,Bcz 30kw charger for a 50kw pack is not a very charger
231,It doesn't support 50KW. The maximum charge rate on Max is 30KW.
231,I got only 30kw from 50kw charger
232,will try jump start is jump start safe ?
232,Can we jump start an EV ❓
232,U need to jump start
233,Did u tried negative terminal
233,Did u remove negative terminal?
233,What is this Negative terminal
234,Creta ev is also coming
234,Creta EV is going good
234,Creta EV will change it!
235,"Like it or not, sir, that is the case with all new tech"
235,Where is such tech when we need it😭😭
235,that's a given for new tech
236,tata motors toll free.vcf (file attached)
236,Key Motors Service.vcf (file attached)
236,EV Customer No.vcf (file attached)
237,Will go for xuv 700
237,Have u booked XUV 400 ?
237,XUV 400 ev it is
238,Where will this be installed?
238,How to get it installed.
238,They only did the installation
239,"If you drive only around 6k km per yr ,then extended warranty can actually be worth it for you.bcz in 6 years it will be only around 36k to 50 km,which is far below the 1.6 lakh km limit. so you will be able to use the full 6 years warranty period if you take the extended warranty. for low yearly usage like yours, extended warranty makes more sense since the km limit won’t be reached early"
239,Extended warranty for 2 years or 1.25L km
239,Replaced under warranty. Standard warranty is 1.6L kms in 8 years and extended warranty is 2.5L kms in 8 years.
240,The DTE is erratic even from the beginning. I always ignore the DTE. But these days I'm getting almost perfect DTE.
240,Don't go by the dte.... Just see how much are you getting
240,What did dte show u?
241,So car in sc now?
241,No car is in SC.
241,No. Car is in SC.
242,Have you seen their design.
242,What do you guys think about design?
242,I didn't like the design
243,"Would you use an EV check-up for your battery in just 15 minutes? No guesswork, just AI. Engineers Shubham Hi Mishra and Ajay Vashisht have built EV Doctor. It’s an AI-powered tool that diagnoses battery health and safety issues smarter and faster than ever before. Here’s what makes it a game-changer: ✅Diagnoses EV battery health in 15 mins ✅No opening up the battery — fully non-invasive ✅Alerts mechanics to early signs of fire risk/failure ✅Puts cutting-edge AI in the hands of local EV garages ✅Boosts trust in India’s growing EV ecosystem Would you trust an AI to check your EV’s heart? READ MORE: #EVRevolution #BatteryInnovation #MakeInIndia #CleanMobility #GreenTech [EV, Green tech, AI, Gujarat, Startups of India, Tech Innovation]"
243,"Btw, just a thought, EV should have 2 set of batteries.. one for drive and other for AC. AC batteries can act as reserve batteries and range should be as per drive batteries...."
243,"Hi Sridutt abd welcome to the group! That’s a great question and an important one for anyone considering a pre-owned EV. You're absolutely right — since EVs are powered by batteries, the battery’s health and remaining lifespan are crucial factors to assess. Here are some key aspects to look for when evaluating a used EV: Battery Health & Warranty: Ask for the State of Health (SoH) report of the battery its available at dealership s at a fee and ideally it should be above 80%. Most manufacturers offer 8-year or 160,000 km battery warranty which comes earlier Check if it’s still under warranty or if there’s any history of degradation or replacement. Vehicle History Report: Like any used car, it’s vital to check service records, accident history, and how well it’s been maintained. With EVs, consistent charging habits also play a role in battery life. Charging Compatibility & Infrastructure: Ensure the EV supports charging options convenient to you — whether it’s home charging or access to fast chargers in your area. Software & Firmware Updates: Some used EVs might miss out on important updates that improve efficiency or fix bugs. Make sure it's running the latest version. Running Costs & Incentives: Even used EVs might be eligible for certain benefits like reduced road tax or insurance discounts in some regions. Check what applies to you. Let me know if you're considering any specific models — happy to help dig deeper! And guide u with my 23 years of experience in the Auto industry Regards Sachin"
244,Mostly the issue is of mud drying up near the actuator pin. So clean the area around the actuator pin. Pull and push the actuator pin few times to make it free. This will take care of the issue unless the actuator is faulty.
244,Get the actuator replaced under warranty.
244,I think it's the issue of actuator <This message was edited>
245,Where's the fuse box in Tigor EV?
245,Or if you know the fuse you can take the fuse out
245,Check fuse box for any blown fuse
246,This dent is no more on my car
246,there is a dent also
246,Is that a dent in battery?
247,Ask a good local electrician to do the same
247,Get it done by a local electrician
247,Any electrician can do it.
248,it'll be higher on Starlink I guess.
248,Is starlink a thing in india yet?
248,he is already getting to know that with starlink
249,This will NOT void your warranty. It is installed at Tata only
249,And tata motors doesn't give warranty
249,New warranty by tata is 2 years
250,I mean like google maps?
250,also u can use google maps always
250,How can we use Google maps?
251,Welcome to the club! 😂
251,Welcome to the club 😜
251,Welcome to the club 😁
252,One of my TaMo friend
252,Can you mail to tamo and check ?
252,At TAMO service station ?
253,I have also reset the trip
253,Have you reset the trip?
253,Reset trip A & B.
254,"You’ll have to go to the service center, it could be dust on the sensor or a faulty sensor."
254,I hope its not the sensor problem
254,"Where is this sensor, they changed sensor on cooling coil but sensor failed a day after installed"
255,Which model MAX sunroof is there
255,Do you have sunroof in your Tigor?
255,Only use for sunroof in India
256,"its's a rcbo , which is mcb+rccb combination"
256,There should be a MCB
256,that is rccb not mcb
257,You can see it in a bill
257,Will check in the bill
257,I don't have the bill
258,Is it available on amazon ?
258,they are available to buy from amazon
258,is it available on amazon
259,"LED lighting is so cheap, just light up the cabin"
259,i might go for ambient lighting
259,and ambient lighting was good
260,Which smart watch u are using ?
260,Wear OS smart watch and apple watch only
260,Smart watch connection was already there with my watch
261,"Yes even no was not able , but then it connected ..."
261,It is not showing as connected also??
261,Still not connected.....or working now ?
262,i have tried charging but i get hv critical error during charging as well
262,Hv error due to slow charger?
262,Anyone facing HV critical error after fast charging?
263,You getting 450x or not
263,"I was before. It was my first choice, the 450. But not the 450x"
263,Should have been just the 450 and the 450X
264,9th launch of SpaceX booster!!
264,We are going to Mars
264,His ultimate goal is mars. I.e. SpaceX
265,After registration it will be done
265,I don't think you can. Registration
265,i got my registration no
266,The dark edition has it.
266,Y not on Dark Edition??
266,you have Dark edition ?
267,This shows handbrake is on
267,Why would you use handbrake!?
267,handbrake down then handbrake up sometime this works
268,So any suggestions anyone has what can I do
268,please give suggestions in what to do
268,Any suggestions what can i do now
269,When did you buy the car??
269,When did you get your car?
269,When did you get your car ?
270,Suspension is not all great
270,Suspension is good for the price
270,Suspension of this car is good
271,This is a document that is speaking of one of the failures... Line isolation failure. For Tata EV this sort of failure is few and random. There were only three or 4 cable changes due to insulation failure. In our vehicle such failures occurs at high SoC. Most if not all failure showing hv critical alert that happened at low SoC was due to battery cell damage issue. Even at this point in time we should be having atleast couple of friends waiting for repaired battery. Those hv critical failures are not due to line insulation failure. Also we have hv critical induced during fast charging due to errors being logged and panel showing hv critical. For such errors SC removes the logged error. That also doesn't have anything to do with insulation...
271,car in service centre for HV critical error issue today Tata Motors people also visited
271,Is that HV Critical or different? TATA punch
272,Going uphill - Min Downhill - Max
272,R u driving downhill most of time ?
272,"Not a downhill,normal terrain <This message was edited>"
273,At least steering wheel side
273,Well. Did u have any problem in steering ?
273,Can't it be because of the steering
274,BYD shows in BYD app
274,This is for byd 😂
274,Yes. And so is BYD
275,What's the update of your car
275,Hello. My service advisor says there is a update available for my car. It’s. 2023 updated model. Anyone else got this update done? Can you please let me know what this update is for?
275,How did you get your car software update!
276,Or another ev with V2L
276,What is the cost of V2L in tata
276,Not sure if this car has V2L
277,Have you filled the form?
277,You will have to fill form
277,you have to fill the form in
278,Will Xev 9s would have similar issues with 9e?
278,Suggest you to take a test drive of Mahindra XEV 9E and XEV 9S.. easily you can take a decision
278,because i have booked xev 9e so was thinking of waiting or going with xev
279,"Oh thank you. So this is a sim based system ,as in the sim can be changed or a built in ,e-sim?"
279,As sim was not in use?
279,Can i change my car sim?
280,Which state you are in?
280,This is for which state?
280,This is for which state...
281,Please share the invoice once
281,"Yes, will share the invoice"
281,Can you please share your invoice?
282,Is the wiring in your home okay?
282,This one had wiring work going on
282,Not yet. Not sure about wiring if there would any change in wiring
283,Don't know which all have prismatic cells?
283,Prismatic or cylindrical ? Any idea?
283,prismatic cells are far better than cylindrical cells
284,That's means 60% top-up(20 to 80/15 to 85) definitely in 30 mins
284,40% to 12% in just 30 mins
284,10-80% in 56 mins ((80−10)×40.5÷100)÷(56÷60) ~ 30kwh/hr
285,What is Arun's thought about this
285,Arun will know better about it
285,Arun is mentioned in this 😳
286,Did you try Spanner 10?
286,Then use 10 no spanner
286,use the no 10 spanner
287,I also need to know that can we sit in car with ac while car charging
287,Can we sit and turn on AC while Charging?
287,Can i sit in my tata ev with ac on while the car is fast charging?
288,I this it’s not required
288,it's not required don't do that
288,Why is this required or when is it required
